make,model,year,engine_size,mileage,fuel_type,transmission,price,source
Honda,Model B,2015,1.3,156577.0,Diesel,Manual,19240.996902505693,huggingface
Audi,Model D,2017,1.1,192529.0,Electric,Manual,20281.779256972142,huggingface
Bmw,Model E,2000,3.7,156962.0,Electric,Automatic,19178.74563399688,huggingface
Audi,Model D,2007,2.9,183057.0,Petrol,Manual,22090.033440169023,huggingface
Audi,Model D,2000,3.4,108269.0,Petrol,Manual,21124.2376476568,huggingface
Ford,Model E,2000,2.3,35013.0,Diesel,Manual,21312.91628809721,huggingface
Bmw,Model D,2018,1.0,165025.0,Electric,Manual,21214.755342079065,huggingface
Bmw,Model E,2020,2.2,133536.0,Diesel,Manual,23690.91989118612,huggingface
Bmw,Model E,2009,3.1,74111.0,Diesel,Automatic,28876.652105436493,huggingface
Audi,Model E,2017,1.8,112839.0,Diesel,Automatic,27231.572099027595,huggingface
Honda,Model B,2011,3.4,46825.0,Diesel,Manual,29512.07131627738,huggingface
Bmw,Model C,2016,3.8,160638.0,Diesel,Automatic,29433.79845229107,huggingface
Audi,Model B,2000,2.6,94035.0,Electric,Manual,21648.50172333337,huggingface
Ford,Model E,2007,4.1,1521.0,Petrol,Automatic,31702.95903963108,huggingface
Honda,Model C,2009,4.0,17363.0,Diesel,Automatic,30565.028198550062,huggingface
Ford,Model C,2009,4.1,80938.0,Electric,Automatic,27728.81561432221,huggingface
Honda,Model E,2017,3.3,122159.0,Diesel,Manual,25035.364044677022,huggingface
Audi,Model C,2008,2.1,142534.0,Electric,Automatic,22219.683821610077,huggingface
Toyota,Model C,2001,2.7,73109.0,Petrol,Automatic,20851.654747307795,huggingface
Honda,Model B,2002,3.5,182177.0,Petrol,Manual,20023.026684330653,huggingface
Ford,Model C,2001,1.7,54698.0,Electric,Automatic,21631.88016480493,huggingface
Audi,Model E,2005,3.6,158175.0,Diesel,Automatic,20994.543598939363,huggingface
Honda,Model A,2011,2.9,119511.0,Petrol,Manual,26006.70189537466,huggingface
Toyota,Model A,2021,1.3,147579.0,Diesel,Automatic,23161.76026568317,huggingface
Toyota,Model A,2018,3.0,96783.0,Diesel,Manual,26212.577949419232,huggingface
Bmw,Model E,2014,1.2,194173.0,Electric,Manual,18388.201768204195,huggingface
Bmw,Model A,2018,1.1,98829.0,Diesel,Manual,26134.944223656978,huggingface
Ford,Model B,2011,4.1,116774.0,Electric,Manual,28580.35397532457,huggingface
Honda,Model E,2017,2.7,179398.0,Electric,Automatic,24115.91923858544,huggingface
Honda,Model E,2015,2.9,141419.0,Electric,Manual,23426.454208062467,huggingface
Bmw,Model E,2001,2.0,6099.0,Petrol,Automatic,25803.690041642563,huggingface
Honda,Model C,2010,2.9,75104.0,Diesel,Manual,25329.208383120596,huggingface
Honda,Model C,2011,1.6,4406.0,Electric,Manual,28254.52547172769,huggingface
Toyota,Model C,2004,3.6,159109.0,Electric,Automatic,21252.908327528738,huggingface
