Maker, Genmodel,Color,Reg_year,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price
Bentley,Arnage,Silver,2000,Saloon,60000,6.8L,Automatic,Petrol,21500
Bentley,Arnage,Grey,2002,Saloon,44000,6.8L,Automatic,Petrol,28750
Bentley,Arnage,Blue,2002,Saloon,55000,6.8L,Automatic,Petrol,29999
Bentley,Arnage,Green,2003,Saloon,14000,6.8L,Automatic,Petrol,34948
Bentley,Arnage,Grey,2003,Saloon,61652,6.8L,Automatic,Petrol,26555
Bentley,Arnage,Blue,2002,Saloon,55000,6.8L,Automatic,Petrol,24950
Bentley,Arnage,Green,2002,Saloon,67000,6.8L,Automatic,Petrol,29995
Bentley,Arnage,Black,2003,Saloon,99200,6.8L,Automatic,Petrol,22450
Bentley,Arnage,Silver,2003,Saloon,27541,6.8L,Automatic,Petrol,26990
Bentley,Arnage,Silver,2003,Saloon,38000,6.8L,Automatic,Petrol,29995
Bentley,Arnage,Green,2003,Saloon,69491,6.8L,Automatic,Petrol,23995
Bentley,Arnage,Silver,2002,Saloon,52000,6.8L,Automatic,Petrol,26990
Bentley,Arnage,Silver,2000,Saloon,53444,6.8L,Automatic,Petrol,21995
Bentley,Arnage,Blue,2002,Saloon,58000,6.8L,Automatic,Petrol,25950
Bentley,Arnage,Black,2000,Saloon,61500,6.7L,Automatic,Petrol,16500
Bentley,Arnage,Blue,2000,Saloon,49700,4.4L,Automatic,Petrol,29500
Bentley,Arnage,,2003,Saloon,35000,6.8L,Automatic,Petrol,35000
Bentley,Arnage,White,2000,Saloon,75000,6.8L,Automatic,Petrol,17995
Bentley,Arnage,Grey,2003,Saloon,48226,6.8L,Automatic,Petrol,33950
Bentley,Arnage,Blue,2003,Saloon,92000,6.8L,Automatic,Petrol,25995
Bentley,Arnage,Silver,2003,Saloon,60000,6.8L,Automatic,Petrol,26995
Bentley,Arnage,Blue,2002,Saloon,51789,6.8L,Automatic,Petrol,26990
Bentley,Arnage,Blue,2003,Saloon,77000,6.8L,Automatic,Petrol,29750
Bentley,Arnage,White,2003,Saloon,75000,6.8L,Automatic,Petrol,16500
Bentley,Arnage,Blue,2002,Saloon,49968,6.8L,Automatic,Petrol,29950
Bentley,Arnage,Silver,2000,Saloon,98000,6.8L,Automatic,Petrol,17945
Bentley,Arnage,Green,2000,Saloon,30000,6.8L,Automatic,Petrol,29950
